key,summary,description,assignee
AIRFLOW-5135,Use gapic ClientInfo in GoogleCloudBaseHook,"*from google.api_core.gapic_v1.client_info import ClientInfo*

this object inherits from

*from google.api_core.client_info import ClientInfo*

and implements one additional method used by Python SDKs.

 ",urbaszek
AIRFLOW-5134,Get task instance logs REST API endpoint,Create a REST API endpoint to get the logs of a specific task instance.,pyrooka
AIRFLOW-5129,Add typehint to gcp_dlp_hook.py,,ryan.yuan
AIRFLOW-5118,Airflow DataprocClusterCreateOperator does not currently support setting optional components,"there need to be an option to install optional components via DataprocClusterCreateOperator . components such as zeppelin.

From the source code of the DataprocClusterCreateOperator[1], the only software configs that can be set are the imageVersion and the properties. As the Zeppelin component needs to be set through softwareConfig optionalComponents[2], the DataprocClusterCreateOperator does not currently support setting optional components. 

 

As a workaround for the time being, you could create your clusters by directly using the gcloud command rather than the DataprocClusterCreateOperator . Using the Airflow BashOperator[4], you can execute gcloud commands that create your Dataproc cluster with the required optional components. 

[1] [https://github.com/apache/airflow/blob/master/airflow/contrib/operators/dataproc_operator.py] 
 [2] [https://cloud.google.com/dataproc/docs/reference/rest/v1/ClusterConfig#softwareconfig] 

[3] [https://airflow.apache.org/howto/operator/bash.html] ",igor@buran.us
AIRFLOW-5117,Airflow K8S not working with EKS when not deployed in cluster,"When Airflow scheduler or worker is not deployed in K8S cluster, all K8S API call will fail with 401 error after running for about 14min.

This is due to EKS enforces a 15min timeout for all API tokens but the official k8S python client doesn't support token refresh.",houqp
AIRFLOW-5116,Provide useful error messages from S3DeleteObjectsOperator,"When an error occurs deleting an object from S3, the API provides a response containing a list of errored objects, providing for each its key, an error code, and a descriptive error message. All of this would be very useful for debugging, except for some unknown reason, the `S3DeleteObjectsOperator` only provides the list of keys and strips out the error message. This makes debugging extremely difficult, and there is no reason not to include this information.",tv4fun
AIRFLOW-5115,S3KeySensor template_fields for bucket_name & bucket_key do not support Jinja variables,"In all Airflow operators (which inherit form {{BaseOperator}}) there is a {{template_fields}} attribute defined as [""which fields will get jinjafied""|https://github.com/apache/airflow/blob/master/airflow/models/baseoperator.py#L218-L219]). For the {{S3KeySensor}} op in specific, these are {{template_fields = ('bucket_key', 'bucket_name')}}.

The {{bucket_key}} kwarg, however, has some input validation in that the {{bucket_key}} needs to begin with the S3 protocol {{s3://}}; this exception is thrown by the [constructor|https://github.com/apache/airflow/blob/master/airflow/sensors/s3_key_sensor.py#L71-L74], which makes it impossible to use Jinja strings as an arg to {{bucket_key}}, since these don't get rendered in the scope of the DAG {{*.py}} file itself. Below is an example; I'm using Airflow 1.9.0 with Python 3.5.3:

Given the below DAG code, where ""my_s3_key"" is {{s3://bucket/prefix/object.txt:}}
{code:java}
dag = DAG('sample_dag', start_date=datetime(2019, 8, 1, 12, 15))

s3_variable_sensor = S3KeySensor(
    task_id='s3_variable_sensor',
    bucket_key=Variable.get('my_s3_key'),
    dag=dag
)

s3_jinja_sensor = S3KeySensor(
    task_id='s3_jinja_sensor',
    bucket_key=""{{ var.value.my_s3_key }}"",
    dag=dag
)
{code}
Executing the first task will run just fine while the next task will throw the following exception:
{code:java}
airflow.exceptions.AirflowException: Please provide a bucket_name.
{code}
This ticket is to propose a code change that will move input validation out of the constructor to allow for Jinja-templated strings to be passed into both {{bucket_name}} and {{bucket_key}}.",dsynkov
AIRFLOW-5114,TypeError when running S3ToGoogleCloudStorageTransferOperator or GoogleCloudStorageToGoogleCloudStorageTransferOperator with default arguments,"When running `S3ToGoogleCloudStorageTransferOperator` or `GoogleCloudStorageToGoogleCloudStorageTransferOperator` with default arguments, you get the following `TypeError`:

 
{noformat}
[2019-08-05 04:13:19,873] {models.py:1796} ERROR - '>' not supported between instances of 'NoneType' and 'int'
Traceback (most recent call last)
  File ""/usr/local/lib/airflow/airflow/models.py"", line 1664, in _run_raw_tas
    result = task_copy.execute(context=context
  File ""/home/airflow/gcs/dags/dependencies/gcp_transfer_operator.py"", line 675, in execut
    hook.wait_for_transfer_job(job, timeout=self.timeout
  File ""/home/airflow/gcs/dags/dependencies/gcp_api_base_hook.py"", line 188, in wrapper_decorato
    return func(self, *args, **kwargs
  File ""/home/airflow/gcs/dags/dependencies/gcp_transfer_hook.py"", line 390, in wait_for_transfer_jo
    while timeout > 0
TypeError: '>' not supported between instances of 'NoneType' and 'int{noformat}
This is because both operators default `timeout` to `None`, and `wait_for_transfer_job` assumes `timeout` is an integer. I have a fix I can submit.

 ",tv4fun
AIRFLOW-5113,Support icon url in slack web hook,"the slack client has a feature that it can set an icon for its user webhook, unfortunately, it not implemented on the Slack webhook.",blcksrx
AIRFLOW-5111,Remove apt-get upgrade from the Dockerfile,,fokko
AIRFLOW-5107,Fix template_fields in GCS ACL operator,,urbaszek
AIRFLOW-5104,Set default schedule for GCP Transfer operators," The docstring for `airflow.contrib.operators.gcp_transfer_operator.S3ToGoogleCloudStorageTransferOperator` says of the `schedule` parameter:
{noformat}
Optional transfer service schedule;
 If not set, run transfer job once as soon as the operator runs{noformat}
This isn't the way the operator is actually implemented though. If `schedule` is unset, the operator provides to `schedule` parameter in the REST API call, which causes the API to return this error:
{noformat}
HttpError 400 when requesting https://storagetransfer.googleapis.com/v1/transferJobs?alt=json returned ""Schedule was not specified.""{noformat}
It's not well-described in [the official documentation|https://cloud.google.com/storage-transfer/docs/reference/rest/v1/transferJobs], but it seems the REST API actually does require a `schedule` parameter to be provided, and fails if it isn't.

 ",tv4fun
AIRFLOW-5103,GCS Prefix Sensor should make matched files available to downstream tasks,"Matching the style of the [PubSubSensor|[https://airflow.readthedocs.io/en/stable/_modules/airflow/contrib/sensors/pubsub_sensor.html]], we should make the GoogleCloudStoragePrefixSensor return the list of matches so that downstream tasks don't have to duplicate the Sensor's logic and can instead grab matching GCS objets via XCom.",jakebiesinger
AIRFLOW-5102,Workers fail to shutdown jobs after failed heartbeats,"If a LocalTaskJob fails to heartbeat for scheduler_zombie_task_threshold, it should shut itself down: [https://github.com/apache/airflow/blob/f34e13a/airflow/jobs/local_task_job.py#L109]

 

However, at some point, a change was made to catch exceptions inside the heartbeat: [https://github.com/apache/airflow/blob/f34e13a/airflow/jobs/base_job.py#L194]

LocalTaskJob now thinks heartbeats always succeed.

 

This effectively means that zombie tasks don't shut themselves down. When the scheduler reschedules the job, this means we could have two instances of the task running concurrently.",hauntsaninja
AIRFLOW-5101,Inconsistent owner value in examples,"By default, the owner of a dag is 'Airflow' (Capital A). Nevertheless, a large part (but not all) of the examples/tests/perf has 'airflow' as the owner (lowercase A). I think it is better to use 'Airflow' in examples. ",j535d165
AIRFLOW-5099,Implement Google Cloud AutoML operators,Implement Google Cloud AutoML operators.,urbaszek
AIRFLOW-5096,reduce the number of times the pickle is inserted into the database by modifying the hash field of Dag,"After the scheduler has the --do_pickle option turned on, the scheduler will insert all the file pickles into the database each time it scans the file, which will cause the database to swell rapidly.

In my opinion, the main reason is because the hash function that determines whether the dag is the same as the pickle version uses the last_loaded field, which changes every time it is read instead of modified. Therefore, airflow inserts a large amount of unchanging data into the database.

I created a commit in which the last modified time of the file was used instead of last_loaded as the hash field, which works fine on my computer. Please let me know if you have a better way.

English is not my native language; please excuse typing errors.",meik
AIRFLOW-5095,airflow.cfg merger,A CLI that can reads an old airflow.cfg and merge with the latest version of airflow.cfg,milton0825
AIRFLOW-5094,Make airflow conn prefix configurable,Currently the Airflow picks up connection strings from environment variable if the environment variable starts with `AIRFLOW_CONN_`. This ticket propose to make the prefix configurable.,milton0825
AIRFLOW-5092,Latest python image should be pulled locally in force_pull_and_build,Latest python image should also be pulled locally before the build as the local builds after pull will start using previously pulled image.,higrys
AIRFLOW-5090,Dependencies to GCP libraries are inconsistent,Dependencies to GCP libraries are inconsistent in a few places. We need to review and update them and test.,higrys
AIRFLOW-5088,To implement DAG JSON serialization and DB persistence for webserver scalability improvement,"Created this issue for starting to implement DAG serialization using JSON and persistence in DB. Serialized DAG will be used in webserver for solving the webserver scalability issue.

 

The implementation is based on AIP-24: [https://cwiki.apache.org/confluence/display/AIRFLOW/AIP-24+DAG+Persistence+in+DB+using+JSON+for+Airflow+Webserver+and+%28optional%29+Scheduler]

 

 ",coufon
AIRFLOW-5087,Display task/dag run stats on UI so that users can debug more easily,"# display the current running dag runs count / max dag runs limit (max_active_runs_per_dag)
 # display the current running tasks count / max running task limit (dag_concurrency)
 # hover a task to also display `depends_on_past` and `wait_for_downstream` params for not scheduled tasks",ping.goblue
AIRFLOW-5086,Partial search in classic UI not working,,feluelle
AIRFLOW-5080,npm: not found with ./airflow/www_rbac/compile_assets.sh,"h2. Problem
When I run [scripts/ci/kubernetes/docker/build.sh|https://github.com/apache/airflow/blob/1.10.3/scripts/ci/kubernetes/docker/build.sh#L45] to build Docker Image, I encountered the following error.

{code}
running compile_assets
./airflow/www_rbac/compile_assets.sh: 26: ./airflow/www_rbac/compile_assets.sh: npm: not found
{code}

So, http://YOUR_HOSTNAME/static didn't create. I got `500 Internal Server Error` with it on a browser(Chrome).

h2. Proposal
I think it needs to install npm in [scripts/ci/kubernetes/docker/compile.sh|https://github.com/apache/airflow/blob/1.10.3/scripts/ci/kubernetes/docker/compile.sh#L30].

{code}
apt-get install -y --no-install-recommends git nodejs npm
{code}

It works for me.
Please consider my proposal.",esfahan
AIRFLOW-5075,HttpHook cannot handle connections with an empty host field,"{{HttpHook}} cannot handle connections with an empty {{host}} field:

 
{code:java}
Traceback (most recent call last):
  File ""my_operator.py"", line 152, in <module>
    - datetime.timedelta(days=1)
  File ""my_operator.py"", line 50, in execute
    sess = self.sfdc_hook.get_conn()
  File ""/home/ubuntu/.local/lib/python3.6/site-packages/airflow/hooks/http_hook.py"", line 63, in get_conn
    if ""://"" in conn.host:
TypeError: argument of type 'NoneType' is not iterable
{code}
 ",pgag
AIRFLOW-5072,gcs_hook causes out-of-memory error when downloading huge files,"Possibly there is an ""else"" missing here, but the gcs_hook's `download` method *always* downloads a blob as a string even when a filename was supplied. This causes the method to take twice as long when a filename is supplied and for huge blobs it can even cause out-of-memory errors.

I think that there is an else missing?

[https://github.com/apache/airflow/blob/05c01a97497e992c7d8b05a39a7855343dee1603/airflow/contrib/hooks/gcs_hook.py#L176]",james-woods
AIRFLOW-5062,Allow ACL header in S3 Hook,"Definition of Done
 * Add ACL field in S3Hook when uploading a file",lesterkim
AIRFLOW-5060,Add support of CatalogId to AwsGlueCatalogHook,"h2. Use Case

Imagine that you stream data into S3 bucket of an *account A* and update AWS Glue datacatalog on a daily basis, so that you can query new data with AWS Athena. Now let's assume that you provided access to this S3 bucket for an external *account B* who wants to use its' own AWS Athena to query your data in an exactly the same way. Unfortunately, an *account B* would need to have exactly the same table definitions in its AWS Glue Datacatalog, because AWS Athena cannot run against external glue datacatalog. However, AWS Glue service supports [cross-account datacatalog access|[https://docs.aws.amazon.com/glue/latest/dg/cross-account-access.html]], which means that *account B* can simply copy/sync meta information about database, tables, partitions etc from glue data catalog of an *account A*, provided additional permissions have been granted. Thus, all methods in *AwsGlueCatalogHook* should an use ""CatalogId"", i.e. ID of the Data Catalog from which to retrieve/create/delete.
h2.  
h2. How it fits into Airflow

Assume that you have an AWSAthenaOperator, which queries data once a day, then result is retrieved, visualised locally and then uploaded to some server/website. Then before this happens, you simply need to create an operator (even PythonOperator would do) which has two hooks, one to source catalog and another to destination catalog. At run time, it would use source hook retrieve information from *account A*, for example [get_partitions()|[https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/glue.html#Glue.Client.get_partitions], then parse response and remove unnseccary keys and finally use destination hook to update *account B* datacatalog with [batch_create_partitions()|[https://boto3.amazonaws.com/v1/documentation/api/latest/reference/services/glue.html#Glue.Client.batch_create_partition]]

 
h2. Proposal
 * Add a parameter *catalog_id* to AwsGlueCatalogHook, which then will be used in all its methods, regardless of this hook associated with source or destination datacatalog. 
 * In order not to break exsisting implementation, we set *catalog_id=None.* But we add method *fallback_catalog_id(),* which uses AWS STS to infer Catalog ID associated with used *aws_conn_id.* Obtained value * *would be used if *catalog_id* hasn't been provided during hook creation.
 * Extend available methods of *AwsGlueCatalogHook* in a similar way to already exsisting once, for convenience of the workflow described above. Note: all new methods should strictly adhere AWS Glue Client Request Syntax and do it in transparent manner. This means, that input information shouldn't be modified within a method. When such actions are required, they should be performed outside of the AwsGlueCatalogHook.

h2. Implementation
 * I am happy to contribute to airflow if this feature request gets approved.

h2. Other considerations
 * At the moment an existing method *get_partitions* doesn't not provide you with all metainformation about partitions available from glue client, whereas *get_table* does. Don't know the best way around it, but imho it should be refactored to *get_partitions_values* or something like that. In this way, we would be able to stay inline with boto3 glue client.

 ",ilya kisil
AIRFLOW-5059,Use .mypy_cache in CI builds to speed-up static checks,,higrys
AIRFLOW-5058,Add support for dmypy (Mypy daemon) to Breeze environment,Per discussion in [https://github.com/apache/airflow/pull/5664] we might use dmypy for local development speedups.,higrys
AIRFLOW-5057,Provide bucket name to functions in S3 Hook when none is specified,,feluelle
AIRFLOW-5056,Add mail_filter argument to ImapHook when searching for attachments,"By making use of the _criterion_ argument in the [search|https://docs.python.org/3.6/library/imaplib.html#imaplib.IMAP4.search] function we can filter only specific mails we want to search in for attachments.

*+ adding support to the ImapAttachmentSensor and ImapAttachmentToS3Operator*",feluelle
AIRFLOW-5055,kubernetes_environment_variables section cannot be set using `AIRFLOW_` prefixed environment variables,"When you set environment variables like `AIRFLOW__KUBERNETES_ENVIRONMENT_VARIABLES____AIRFLOW__HOME`, the scheduler will pass `airflow_home` as environment variable key to workers instead, which gets ignored by the workers.",houqp
AIRFLOW-5052,Add the include_deleted parameter to Salesforce Hook,"At present, the salesforce hook uses the make_query() method to perform query via Salesforce api. The make_query() accepts a query and and uses a wrapper function which calls the query_all() method from simple salesforce to perform the query.

The deficiency with the use of the query_all() method is that it does not factor the inclusion of deleted records which is an optional parameter in the query_all() method of simple salesforce as shown below:

```

#query_all method in the salesforce hook

query_all(query)

#This should be changed to reflect what the simple salesforce query_all() does in the. background as follows

{color:#ffc66d}query_all{color}({color:#94558d}self{color}{color:#cc7832}, {color}query{color:#cc7832}, {color}include_deleted={color:#cc7832}False, {color}**kwargs):

```

The objective of this ticket is add these parameters to the salesforce hook so that the hook also has the option of including the deleted records from Salesforce in the query.",wmorris75
AIRFLOW-5051,Coverage is not properly reported in the new CI system,,higrys
AIRFLOW-5049,Wrong src_fmt_configs in bigquery hook are silently ignored instead of an error being thrown,For the bigquery hook if a wrong config parameter is given for src_fmt_configs it is silently ignored. Instead it would be better if an error is thrown.,dpgrev
AIRFLOW-5048,Improve display of Kubernetes resources,At the moment just a serialized class is displayed in task instance view,ms32035
AIRFLOW-5045,Add ability to create Google Dataproc cluster with custom image from a different project,"Custom image support has been added for Dataproc by https://issues.apache.org/jira/browse/AIRFLOW-2797.

Unfortunately the code assumes that the images come from the same project.

It would be useful to add a new parameter 'custom_image_project_id' to specify the source project of the image.",igor@buran.us
AIRFLOW-5044,Fix copy/pasta in k8s request factory extract resources,,a_soldatenko
AIRFLOW-5041,CI scripts force you to python 3.6 on the host,,higrys
AIRFLOW-5040,Fix typos,Opening this to submit a PR as Work in Progress to fix several typos.,serkef
AIRFLOW-5038,Pod deleted message is shown incorrectly when pod deletion is disabled,"When `delete_worker_pods` is set to False, scheduler still logs this line: `self.log.info('Deleted pod: %s', str(key))`, which is incorrect and confusing.",houqp
AIRFLOW-5035,Dag parsing process can leave orphan processes under heavy load,"As reported by James Meickle on the mailing list, under certain cases it is possible that the multiprocessing.Manager process can end up orphaned when the scheduler shuts down.

This is relating to a new merge in 1.10.4 (i.e. 1.10.3 wasn't affected)

The ""orphan"" process is massively exasperated but having a {{--run-duration 600}}, but we should try and fix this if we can.",ashb
AIRFLOW-5034,CLI errors should exit with non-zero codes,"Some CLI errors raise an exception and return a non-zero exit code, but others (like deleting a user that doesn't exist) print an error message and return a zero exit code. To improve consistency, we should update the CLI so that all errors raise exceptions and return non-zero exit codes.",jmcarp
AIRFLOW-5032,build is broken due to version conflict between tzlocal and pendulum,"Lastest master build is broken due to dependency version conflict, here is the error: 
{code:java}
Traceback (most recent call last):
File ""/usr/local/bin/airflow"", line 4, in <module>
__import__('pkg_resources').require('apache-airflow==2.0.0.dev0')
File ""/usr/local/lib/python3.7/site-packages/pkg_resources/__init__.py"", line 3241, in <module>
@_call_aside
File ""/usr/local/lib/python3.7/site-packages/pkg_resources/__init__.py"", line 3225, in _call_aside
f(*args, **kwargs)
File ""/usr/local/lib/python3.7/site-packages/pkg_resources/__init__.py"", line 3254, in _initialize_master_working_set
working_set = WorkingSet._build_master()
File ""/usr/local/lib/python3.7/site-packages/pkg_resources/__init__.py"", line 585, in _build_master
return cls._build_from_requirements(__requires__)
File ""/usr/local/lib/python3.7/site-packages/pkg_resources/__init__.py"", line 598, in _build_from_requirements
dists = ws.resolve(reqs, Environment())
File ""/usr/local/lib/python3.7/site-packages/pkg_resources/__init__.py"", line 791, in resolve
raise VersionConflict(dist, req).with_context(dependent_req)
pkg_resources.ContextualVersionConflict: (tzlocal 2.0.0 (/usr/local/lib/python3.7/site-packages), Requirement.parse('tzlocal<2.0.0.0,>=1.5.0.0'), {'pendulum'})
{code}
 ",houqp
AIRFLOW-5031,Tzlocal 2.0.0 has been released today and it breaks the build,,7yl4r
AIRFLOW-5030,config key name with __ in it is getting skipped in AirflowConfigParser.as_dict method,"When a key name contains one or more ""__"", it will get ignored by AirflowConfigParser.as_dict method. This makes it impossible to set worker environment variables using `KUBERNETES_ENVIRONMENT_VARIABLES` section from scheduler.",houqp
AIRFLOW-5028,Add ephemeral-storage to airflow pod resources,"Right now we are not setting {{ephemeral-storage}} requests/limits on any of the Airflow pods. 

[https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/#local-ephemeral-storage]",a_soldatenko
AIRFLOW-5027,Generalized CloudWatch log grabbing for ECS and SageMaker operators,"It's very useful to have the CloudWatch task logs of an ECS/SageMaker job available within Airflow. Currently, this is not possible for ECS tasks.

The SageMaker operator starts a job on AWS SageMaker. It already supports grabbing the CloudWatch logs of the (finished) job to the Airflow instance.

The ECS operator is very similar in that it starts a job on AWS ECS. It doesn't, however, support grabbing CloudWatch logs at the end of a job.

I've separated the existing log grabbing of the SageMaker operator to a hook and both the SageMaker and ECS operators now call that hook at the end of a job.",stevenreitsma
AIRFLOW-5021,gitpyhon should not be included as runtime dependency,gitpython is included as `install_requires` but is only used in setup.py. It's better to move it to `setup_requires` so we can reduce package size.,houqp
AIRFLOW-5015,Make AWS Operators Pylint compatible,Make AWS Operators Pylint compatible.,gto
AIRFLOW-5013,Add GCP Data Catalog Hook and Operators,"Add GCP Data Catalog services to Airflow

[https://cloud.google.com/data-catalog/docs/reference]",ryan.yuan
AIRFLOW-5012,Add typehints for gcp_*_hook.py,,kamil.bregula
AIRFLOW-5007,Python version is overridden in CI tests to 3.6,Python version should be forced to 3.6 only in static checks but it was accidentally forced to 3.6 in running the tests as well. It should be fixed quickly,higrys
AIRFLOW-5004,Stable/test image should be selectable via TRAVIS_BRANCH environment variable,"When building CI images you need to know whether you use v1-10-test or v1-10-stable branch (and use corresponding image).

Currently the default branch is read from _default_branch.sh . This is not a problem for master/v1-10-test distinction because those are in different ""physical"" branches, but v1-10-stable and v1-10-test are actually following one-another (v1-10-test moves first and when several commits pass, then stable branch follows).

Therefore we need to utilise TRAVIS_BRANCH variable - this variable works in two modes - for PRs it is the branch that the PR is going to be merged to, whereas for triggered builds it's the branch from which the build was triggered. This is perfect for us to determine which image should be used during build.",higrys
AIRFLOW-5003,Make AWS hooks Pylint compatible,Make AWS hooks Pylint compatible.,gto
AIRFLOW-5000,Remove task instance duplicate end_date and reorder template context,,zhongjiajie
AIRFLOW-4994,Bare version of integration test environment,We need a slim version of environment that should only start airflow's docker image and let it use sqlite rather than start all external dependencies,higrys
AIRFLOW-4992,Replace backports.configparser in favour of Python 3 native configparser,,basph
AIRFLOW-4984,Improve SalesforceHook to Query Deleted Records,"The current salesforce_hook does not allow you to query deleted records. This feature is already enabled in simple-salesforce, which the salesforce_hook implements.

 

From [https://simple-salesforce.readthedocs.io/en/latest/simple_salesforce.api.html]:

{{query_all}}(_query_, _include_deleted=False_, _**kwargs_)

Returns the full set of results for the ??query??. This is a convenience wrapper around ??query(...)?? and ??query_more(...)??.

The returned dict is the decoded JSON payload from the final call to Salesforce, but with the ??totalSize?? field representing the full number of results retrieved and the ??records?? list representing the full list of records retrieved.

Arguments
 * query - the SOQL query to send to Salesforce, e.g.SELECT Id FROM Lead WHERE Email = ""[waldo@somewhere.com|mailto:waldo%40somewhere.com]""
 * include_deleted - True if the query should include deleted records.

 

 

Going to include the keyword argument *include_deleted=False* in the salesforce_hook *make_query* method.",dan-ladd
AIRFLOW-4983,DataflowPythonOperator should be able to submit pipelines with python3,"Currently the DataflowHook hard codes python2 interpreter.

Apache Beam is beginning to support python3 interpreter and we should support submitting those pipelines.

I've we should add a `py_interpreter` arg to the operator and hook that defaults to 'python2' (to not be interface breaking.",data-runner0
AIRFLOW-4981,execution_date in macro is not a pendulum DateTime for fixed cron schedules,"When using a fixed cron schedule_interval such as ""0 12 * * *"", the execution_date (as well as next_execution_date) available in macros is a python datetime object, not a pendulum DateTime as indicated in the macro docs. For my purposes, this means that methods such as in_timezone are not available.",arlo
AIRFLOW-4965,Handling throttling in GCP AI operators,"Polidea develops Apache Airflow operators for following Google Cloud AI services:
 * Cloud Translate
 * Cloud Vision
 * Cloud Text-To-Speech
 * Cloud Speech-To-Text
 * Cloud Translate Speech
 * Cloud Natural Language
 * Cloud Video Intelligence

Those API implement quota verification and throttle requests that exceed the quota. Here are the relevant links describing it:

[https://cloud.google.com/translate/quotas] 

[https://cloud.google.com/vision/quotas]

[https://cloud.google.com/speech-to-text/quotas]

[https://cloud.google.com/text-to-speech/quotas]

[https://cloud.google.com/natural-language/quotas]

[https://cloud.google.com/video-intelligence/quotas]

There are several types of quotas and limits:

 

*Translate:*
 * characters per day [403 - error  “Daily Limit Exceeded”]
 * characters per 100 seconds (per project or per project/user) [403 error “User Rate Limit Exceeded”] [TEMPORARY]

 

*Vision:*
 * image file size
 * requests per minute [TEMPORARY]
 * images per feature per month 

 

*Text to speech:*
 * total characters per request
 * requests per minute [TEMPORARY]
 * characters per minute [TEMPORARY]

 

*Speech to text*
 * limits of the content size
 * limits of the phrases/characters per request for context
 * requests per 60 seconds [TEMPORARY]
 * processing per day

*Natural Language*
 * Text Content size 

 * Token quota and Entity mentions (ignored?)
 * requests per 100 seconds [TEMPORARY]
 * requests per day 

*Video Intelligence*
 * video size
 * requests per minute [TEMPORARY]
 * backend time in seconds per minute [TEMPORARY]

 

In all Cloud AI operators we are using Python Client API. Most methods are using built-in [Retry|https://googleapis.github.io/google-cloud-python/latest/core/retry.html#google.api_core.retry.Retry] object and Retry mechanism. The assumption is that for functions that use the mechanism, it is implemented correctly and by default “retriable” errors only are retried. User can configure behaviour of the Retry object - exponential back-off factor, delays, etc. In the current API Retry object can be provided by the user creating the DAG and using the operator:
  

The APIS that use Retry object are:
 * *Cloud Vision Product Search*

 * *Cloud Vision Extra*

 * *Cloud Vision Detect*

 * *Cloud Natural Language*

 * *Cloud Speech*

 * *Cloud Video Intelligence*

**

The Retry mechanism provided by the Client API should be enough to handle temporary bursts of requests. User can control exponential back-off rate and will be able to adjust it to their own needs. They are also able to manually restart failed jobs using standard Airflow mechanisms in case their configuration is not well adjusted to their limits.

 

The only case where Retry is not used in the API is Translate operator - specifically [translate|https://googleapis.github.io/google-cloud-python/latest/translate/client.html#google.cloud.translate_v2.client.Client.translate] API. 

 

In case of Translate API, the proposal is to use Retry decorator in our own hook and perform retries only in case of *“User Rate Limit Exceeded”* error, all other errors (size limit and Daily Limit Exceeded) should be treated as non-retriable. In those cases users will be able to manually restart failed jobs. 

 
h1. Implementation

We analyzed two solutions:
 # extension of the built-in mechanism from google-cloud-python library - Retry
 # external library - tenacity

 

The use of the first solution seems natural, but it is problematic. Each method creates a retry object by default from a configuration based on a private file with configuration.
 Reference: 
 [https://github.com/googleapis/google-cloud-python/blob/b718d2d9bb32b0e7934ae90d57dc80c81ce0fb73/vision/google/cloud/vision_v1/gapic/image_annotator_client.py#L162-L168
 ] [https://github.com/googleapis/google-cloud-python/blob/b718d2d9bb32b0e7934ae90d57dc80c81ce0fb73/vision/google/cloud/vision_v1/gapic/image_annotator_client.py#L296-L304
 ]If we would like to extend this mechanism, we would have to copy the logic to this configuration. The google-cloud-python library does not allow us to easily change only part of the configuration of retry object.

 

The retry mechanism is not supported by all services (See: [Current approach|https://docs.google.com/document/d/1QYwTy6r7bbLK3cmE9x1VShelHQ4B9SLHZDVjp6ja1S4/edit#heading=h.y76gaxcevnym]), so there is a need to create a separate mechanism. The new mechanism based on the external library will work with all services. This will provide a more predictable developer experience.

 

The tenacity library provides a code retry mechanism based on the decorator. It use wait strategy that applies exponential backoff. All hook methods that are covered by quota restrictions will get a new decorator.

 

Sample implementation:

{{@tenacity.retry(}}
 {{    wait=tenacity.wait_exponential(min=1, max=100),}}
 {{    retry=retry_if_temporary_quota(),}}
 {{)}}
 {{def fetch():}}
 {{    response = client.translate(TEXT, target_language=""PL"")['translatedText']}}
 {{    return response|}}

   

 

_retry_if_temporary_quota_ is a factory method that creates a predicate to check if the exception concerns the quota restriction.",dzakus13
AIRFLOW-4964,Add BigQuery Data Transfer Hook and Operator,"Add BigQuery Data Transfer Hook and Operator to allow users to transfer data from partner SaaS applications to Google BigQuery on a scheduled, managed basis.",kamil.bregula
AIRFLOW-4962,Fix Werkzeug v0.15 deprecation notice for DispatcherMiddleware import,"In 1.10.4rc3 tag, after werkzeug upgrade
{code}
/usr/local/lib/python3.6/site-packages/airflow/www_rbac/app.py:231: DeprecationWarning: 'werkzeug.wsgi.DispatcherMiddleware' has moved to 'werkzeug.middleware.dispatcher.DispatcherMiddleware'. This import is deprecated as of version 0.15 and will be removed in version 1.0.
{code}",nritholtz
AIRFLOW-4959,Add hql template support for DataProcHiveOperator,,fokko
AIRFLOW-4956,LocalTaskJob heartbeat can create spamming log,"When DB is unavailable and heartbeat() fails, LocalTaskJob will keep trying to heartbeat--causing DB load and spamming log.",yrqls21
AIRFLOW-4951,Use new style classes,,dzakus13
AIRFLOW-4949,Use OSError exception,,dzakus13
AIRFLOW-4948,"Use items, values method instead six package",,dzakus13
AIRFLOW-4947,Remove six types,,dzakus13
AIRFLOW-4946,Use yield from syntax,,dzakus13
AIRFLOW-4945,Use super() syntax,,dzakus13
AIRFLOW-4944,Use new types syntax,,dzakus13
AIRFLOW-4943,Replace six assertion method with native,,dzakus13
AIRFLOW-4942,Drop six.next,,dzakus13
AIRFLOW-4941,default_args not applied when dag is assigned to task through setter,"When the DAG is set to the task via [setter|https://github.com/apache/airflow/blob/526c65a57204022596fb69e9478c5515ad0b880e/airflow/models/baseoperator.py#L501], `default_args` won't be applied to the task. Adding a warning message to let user know about that.",ashb
AIRFLOW-4940,DynamoDB to S3 backup operator,Add an Airflow operator that back up DynamoDB table to S3.,milton0825
AIRFLOW-4939,Ability to specify default retries for all tasks,There should be a config which sets the default retry count for all the tasks. ,msumit
AIRFLOW-4936,Tests should clean up configuration changes,Several unit tests modify settings in `configuration.conf` but don't clean up those changes. This can cause tests to change the results of other tests that run later. All tests should clean up changes they make to airflow configuration.,jmcarp
AIRFLOW-4935,Add method in the bigquery hook to list tables in a dataset,A method to list list all tables in datasets. A prefix could be specified.,benjamin.grenier
AIRFLOW-4934,ProxyFix not working as expected since Werkzeug v0.15,"Since Werkzeug 0.15, _enable_proxy_fix_ doesn't work as expected as per [this Github issue|https://github.com/pallets/werkzeug/issues/1484].

We should fix it to at least respect what was previous behavior. We can eventually also offer a configuration to customize the new behavior, however this is breaking old behavior, and is required within the next/current release due to the Flask pin.",nritholtz
